enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
1A,4198,51b9fef8-c81f-4348-87b8-962c4ed3e04d,1A,ASHRAE. Very hot and humid. 9000 < CDD50F,https://bedes.lbl.gov/node/51b9fef8-c81f-4348-87b8-962c4ed3e04d,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
1B,4199,69a32b49-275b-4a7b-b9ba-9f02a9b42096,1B,ASHRAE. Very hot and dry. 9000 < CDD50F,https://bedes.lbl.gov/node/69a32b49-275b-4a7b-b9ba-9f02a9b42096,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
2A,4200,25039e74-0936-4475-8683-81ba293b7107,2A,ASHRAE. Hot and humid. 6300 < CDD50F <= 90000,https://bedes.lbl.gov/node/25039e74-0936-4475-8683-81ba293b7107,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
2B,4201,2d84c8a9-b9be-486f-8f0a-c3f6d9d89f77,2B,ASHRAE. Hot and dry. 6300 < CDD50F <= 90000,https://bedes.lbl.gov/node/2d84c8a9-b9be-486f-8f0a-c3f6d9d89f77,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
3A,4202,b3e632c1-56aa-4944-964f-5973ef978fdb,3A,ASHRAE. Warm and humid. 4500 < CDD50F <= 6300,https://bedes.lbl.gov/node/b3e632c1-56aa-4944-964f-5973ef978fdb,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
3B,4203,8a917ae0-48fb-42e3-8006-ee3b1fa4453c,3B,ASHRAE. Warm and dry. 4500 < CDD50F <= 6300,https://bedes.lbl.gov/node/8a917ae0-48fb-42e3-8006-ee3b1fa4453c,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
3C,4204,90fa882c-ddbb-4851-9f53-1f27c684f41a,3C,ASHRAE. Warm marine. CDD50F <= 4500 and HDD65F <= 3600,https://bedes.lbl.gov/node/90fa882c-ddbb-4851-9f53-1f27c684f41a,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4A,4205,01fbc36e-50ab-42b5-859b-02eb38f50343,4A,ASHRAE. Mixed and humid. CDD50F <= 4500 and 3600 <HDD65F <= 5400,https://bedes.lbl.gov/node/01fbc36e-50ab-42b5-859b-02eb38f50343,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4B,4206,39d00a23-7f84-4550-b805-54aa989c3c9a,4B,ASHRAE. Mixed and dry. CDD50F <= 4500 and 3600 <HDD65F <= 5400,https://bedes.lbl.gov/node/39d00a23-7f84-4550-b805-54aa989c3c9a,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4C,4207,80910b55-f3b8-4493-8765-91e31bf21d60,4C,ASHRAE. Mixed marine. 3600 <HDD65F <= 5400,https://bedes.lbl.gov/node/80910b55-f3b8-4493-8765-91e31bf21d60,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
5A,4208,c4a889b8-b379-4f97-83ba-ba6b21e3f37c,5A,ASHRAE. Cool and humid. 5400 < HDD65F <= 7200,https://bedes.lbl.gov/node/c4a889b8-b379-4f97-83ba-ba6b21e3f37c,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
