1A,96362,1A,1.0
1B,96363,1B,1.0
2A,96364,2A,1.0
2B,96365,2B,1.0
3A,96366,3A,1.0
3B,96367,3B,1.0
3C,96368,3C,1.0
4A,96369,4A,1.0
4B,96370,4B,1.0
4C,96371,4C,1.0
5A,96372,5A,1.0
5B,96373,5B,1.0
5C,96374,5C,1.0
6A,96375,6A,1.0
6B,96376,6B,1.0
7,96406,7,1.0
8,96407,8,1.0
Northern,96379,Northern,1.0
North-Central,96380,North Central,0.9692307692307692
South-Central,96381,South Central,0.9692307692307692
Southern,96382,Southern,1.0
Climate Zone 1,,,
Climate Zone 2,,,
Climate Zone 3,,,
Climate Zone 4,,,
Climate Zone 5,,,
Climate Zone 6,,,
Climate Zone 7,,,
Climate Zone 8,,,
Climate Zone 9,,,
Climate Zone 10,,,
Climate Zone 11,,,
Climate Zone 12,,,
Climate Zone 13,,,
Climate Zone 14,,,
Climate Zone 15,,,
Climate Zone 16,,,
1,102645,1,1.0
2,102646,2,1.0
3,102647,3,1.0
4 (Except Marine),,,
4 (Marine),,,
5,102649,5,1.0
6,96405,6,1.0
Subarctic,96421,Subarctic,1.0
Marine,96422,Marine,1.0
Hot-dry,96423,Hot dry,0.9333333333333333
Mixed-dry,96424,Mixed dry,0.9555555555555556
Hot-humid,96425,Hot humid,0.9481481481481482
Mixed-humid,96426,Mixed humid,0.9636363636363636
Cold,96427,Cold,1.0
Very cold,96428,Very cold,1.0
4,102648,4,1.0
AKGD,96429,AKGD,1.0
AKMS,96430,AKMS,1.0
AZNM,96431,AZNM,1.0
CAMX,96432,CAMX,1.0
ERCT,96433,ERCT,1.0
FRCC,96434,FRCC,1.0
HIMS,96435,HIMS,1.0
HIOA,96436,HIOA,1.0
MORE,96437,MORE,1.0
MROW,96438,MROW,1.0
NEWE,96439,NEWE,1.0
NWPP,96440,NWPP,1.0
NYCW,96441,NYCW,1.0
NYLI,96442,NYLI,1.0
NYUP,96443,NYUP,1.0
RFCE,96444,RFCE,1.0
RFCM,96445,RFCM,1.0
RFCW,96446,RFCW,1.0
RMPA,96447,RMPA,1.0
SPNO,96448,SPNO,1.0
SPSO,96449,SPSO,1.0
SRMV,96450,SRMV,1.0
SRMW,96451,SRMW,1.0
SRSO,96452,SRSO,1.0
SRTV,96453,SRTV,1.0
SRVC,96454,SRVC,1.0
Other,,,
FAA,96456,FAA,1.0
ICAO,96457,ICAO,1.0
