attribute_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance
Audits,,,,,,,,
Audit,,,,,,,,
Sites,,,,,,,,
Site,,,,,,,,
ClimateZoneType,322,Audits.Audit.Sites.Site.ClimateZoneType,83d301d1-3e81-4213-a3a8-c09d1e75337a,Climate Zone Type,Premises,"The climate zone type, based on the organization defining it. Many different organizations have implemented different climate zone definitions based on their needs. The list below represents the current list. This list can be added to over time based on the collaborative BEDES development process.",https://bedes.lbl.gov/node/83d301d1-3e81-4213-a3a8-c09d1e75337a,0.9764705882352941
ASHRAE,,,,,,,,
ClimateZone,2849,Audits.Audit.Report.Scenarios.Scenario.ScenarioType.Benchmark.BenchmarkType.CBECS.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333
EnergyStar,325,Audits.Audit.Sites.Site.ClimateZoneType.EnergyStar,ba39a9a6-84fb-4bca-bfc2-77cc2954e243,Energy Software Tool,Global Terms,A software program that is used in some fashion to calculate the energy consumption of a building,https://bedes.lbl.gov/node/ba39a9a6-84fb-4bca-bfc2-77cc2954e243,0.9
CaliforniaTitle24,,,,,,,,
IECC,,,,,,,,
BuildingAmerica,,,,,,,,
CBECS,,,,,,,,
DOE,,,,,,,,
Other,,,,,,,,
eGRIDRegionCode,339,Audits.Audit.Sites.Site.eGRIDRegionCode,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,eGRID Region Code,Premises,The eGRID (Emissions and Generation Resource Database) region code associated with the data being described.,https://bedes.lbl.gov/node/1c03bd87-9df9-42e9-abf6-f16e2e3b3092,0.9764705882352941
WeatherDataStationID,340,Audits.Audit.Sites.Site.WeatherDataStationID,9bcb413f-f100-4f77-953c-5ebdad916148,Weather Data Station ID,Premises,"For an actual weather station, this is the ID assigned by NOAA. For hourly energy simulations, this is the six digit code associated with the hourly weather data, generally found in the name of the weather data file, as well as in the header of the data file.",https://bedes.lbl.gov/node/9bcb413f-f100-4f77-953c-5ebdad916148,0.9739130434782608
