enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
Other,10861,,,,,,
Work,10860,1fd64653-45e2-45ba-a5a9-4360657e1317,Work,,https://bedes.lbl.gov/node/1fd64653-45e2-45ba-a5a9-4360657e1317,9ae91208-70a6-4fe4-b486-166eadb219f7,1.0
Personal,10859,71758863-7b29-4739-9323-0d53d78d716f,Personal,Email address used for personal communication.,https://bedes.lbl.gov/node/71758863-7b29-4739-9323-0d53d78d716f,a5417185-7c94-4c4a-8bc3-36e84863c764,1.0
Other,10858,,,,,,
Cell,10857,,,,,,
Evenings,10856,a4ab3eae-0883-4a44-b3d1-c6e41035df9f,Evening,"Phone number where contact can be reached during evening, or after regular work hours.",https://bedes.lbl.gov/node/a4ab3eae-0883-4a44-b3d1-c6e41035df9f,a36b4cb4-6b96-4127-94df-38d007bc2a99,0.975
Days,10855,,,,,,
Other,10854,,,,,,
Originator,10853,15f6f937-69ce-4451-b8dc-d2b82b6c0a38,Originator,Institution with primary responsibility for processing a loan application.,https://bedes.lbl.gov/node/15f6f937-69ce-4451-b8dc-d2b82b6c0a38,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0
Servicer,10852,e457cfd3-4456-4558-be92-31cb9a933a12,Servicer,Institution with primary responsibility for collecting and tracking a loan borrower payments.,https://bedes.lbl.gov/node/e457cfd3-4456-4558-be92-31cb9a933a12,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0
Lender,10851,2f94a5ff-a488-400f-bc99-639420789f77,Lender,Lending institution or company,https://bedes.lbl.gov/node/2f94a5ff-a488-400f-bc99-639420789f77,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0
Controls Engineer,10850,f407cc1f-9253-4a95-8715-27d07670cf77,Controls engineer,The controls engineer of record,https://bedes.lbl.gov/node/f407cc1f-9253-4a95-8715-27d07670cf77,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9514705882352941
Electrical Engineer,10849,8aa09ae4-d894-4f7c-9cda-d3876d91886c,Electrical engineer,The electrical engineer of record,https://bedes.lbl.gov/node/8aa09ae4-d894-4f7c-9cda-d3876d91886c,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9567251461988304
Trainer,10848,835a1b1b-d3a0-43dc-828f-b2b46b3486f3,Trainer,Trainer,https://bedes.lbl.gov/node/835a1b1b-d3a0-43dc-828f-b2b46b3486f3,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0
Facility Manager,10847,724043e1-cef0-4b93-99de-ee4b81a24b5a,Facility manager,Facility manager,https://bedes.lbl.gov/node/724043e1-cef0-4b93-99de-ee4b81a24b5a,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.975
