enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
Audit,1,18f13e95-85ef-44f1-92b8-6ab7c118c8fb,Audit,An audit is an assessment of the energy needs and efficiency of a premises.,https://bedes.lbl.gov/node/18f13e95-85ef-44f1-92b8-6ab7c118c8fb,74c405e8-0e2e-4b1d-961e-2170e3089f9a,1.0
Performance,2,,,,,,
Deemed,3,,,,,,
Retrofit,4,ac4c720b-7d1d-44e6-90fd-b15995b94f30,Retrofit,"Modification of system or equipment possibly including replacement, addition, and/or adjustment",https://bedes.lbl.gov/node/ac4c720b-7d1d-44e6-90fd-b15995b94f30,74c405e8-0e2e-4b1d-961e-2170e3089f9a,1.0
Rebate,5,10a3b9fd-d8bc-41ad-b295-cfcd4168436a,Rebate,Funding obtained through rebates to implement the measure or project,https://bedes.lbl.gov/node/10a3b9fd-d8bc-41ad-b295-cfcd4168436a,df6b02d4-7642-4209-a9cd-680756a05d60,1.0
Other,6,,,,,,
Not Applicable,7,,,,,,
1A,8,51b9fef8-c81f-4348-87b8-962c4ed3e04d,1A,ASHRAE. Very hot and humid. 9000 < CDD50F,https://bedes.lbl.gov/node/51b9fef8-c81f-4348-87b8-962c4ed3e04d,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
1B,9,69a32b49-275b-4a7b-b9ba-9f02a9b42096,1B,ASHRAE. Very hot and dry. 9000 < CDD50F,https://bedes.lbl.gov/node/69a32b49-275b-4a7b-b9ba-9f02a9b42096,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
2A,10,25039e74-0936-4475-8683-81ba293b7107,2A,ASHRAE. Hot and humid. 6300 < CDD50F <= 90000,https://bedes.lbl.gov/node/25039e74-0936-4475-8683-81ba293b7107,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
2B,11,2d84c8a9-b9be-486f-8f0a-c3f6d9d89f77,2B,ASHRAE. Hot and dry. 6300 < CDD50F <= 90000,https://bedes.lbl.gov/node/2d84c8a9-b9be-486f-8f0a-c3f6d9d89f77,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
3A,12,b3e632c1-56aa-4944-964f-5973ef978fdb,3A,ASHRAE. Warm and humid. 4500 < CDD50F <= 6300,https://bedes.lbl.gov/node/b3e632c1-56aa-4944-964f-5973ef978fdb,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
3B,13,8a917ae0-48fb-42e3-8006-ee3b1fa4453c,3B,ASHRAE. Warm and dry. 4500 < CDD50F <= 6300,https://bedes.lbl.gov/node/8a917ae0-48fb-42e3-8006-ee3b1fa4453c,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
3C,14,90fa882c-ddbb-4851-9f53-1f27c684f41a,3C,ASHRAE. Warm marine. CDD50F <= 4500 and HDD65F <= 3600,https://bedes.lbl.gov/node/90fa882c-ddbb-4851-9f53-1f27c684f41a,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4A,15,01fbc36e-50ab-42b5-859b-02eb38f50343,4A,ASHRAE. Mixed and humid. CDD50F <= 4500 and 3600 <HDD65F <= 5400,https://bedes.lbl.gov/node/01fbc36e-50ab-42b5-859b-02eb38f50343,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4B,16,39d00a23-7f84-4550-b805-54aa989c3c9a,4B,ASHRAE. Mixed and dry. CDD50F <= 4500 and 3600 <HDD65F <= 5400,https://bedes.lbl.gov/node/39d00a23-7f84-4550-b805-54aa989c3c9a,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4C,17,80910b55-f3b8-4493-8765-91e31bf21d60,4C,ASHRAE. Mixed marine. 3600 <HDD65F <= 5400,https://bedes.lbl.gov/node/80910b55-f3b8-4493-8765-91e31bf21d60,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
5A,18,c4a889b8-b379-4f97-83ba-ba6b21e3f37c,5A,ASHRAE. Cool and humid. 5400 < HDD65F <= 7200,https://bedes.lbl.gov/node/c4a889b8-b379-4f97-83ba-ba6b21e3f37c,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
5B,19,815a32a1-a751-45de-9565-f90e7e6eb54a,5B,ASHRAE. Cool and dry. 5400 < HDD65F <= 7200,https://bedes.lbl.gov/node/815a32a1-a751-45de-9565-f90e7e6eb54a,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
5C,20,303c44c3-3a21-4633-b43a-0721756900ad,5C,ASHRAE. Cool marine. 5400 < HDD65F <= 7200,https://bedes.lbl.gov/node/303c44c3-3a21-4633-b43a-0721756900ad,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
6A,21,9584e8aa-5db2-43d7-976c-edec745d42e8,6A,ASHRAE. Cold and humid. 7200 < HDD65F <= 9000,https://bedes.lbl.gov/node/9584e8aa-5db2-43d7-976c-edec745d42e8,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
6B,22,01f71fd6-5285-45a7-ba8b-f622676a1611,6B,ASHRAE. Cold and dry. 7200 < HDD65F <= 9000,https://bedes.lbl.gov/node/01f71fd6-5285-45a7-ba8b-f622676a1611,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
7,23,38e04aa1-b194-4b35-94fa-29c722f8997e,7,ASHRAE. Very cold. 9000 < HDD65F <= 12600. California Title 24 representative city of San Diego. IECC Zone,https://bedes.lbl.gov/node/38e04aa1-b194-4b35-94fa-29c722f8997e,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
