attribute_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,term_or_lo,matched_to_term,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words
BuildingSync,1,BuildingSync,,,,,,,List-Option,Building,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,,,Sync
Programs,2,BuildingSync.Programs,986b033d-18a1-4efc-aed0-0918e7af688c,Program,,Program,https://bedes.lbl.gov/node/986b033d-18a1-4efc-aed0-0918e7af688c,0.975,List-Option,,,,,
Program,3,BuildingSync.Programs.Program,986b033d-18a1-4efc-aed0-0918e7af688c,Program,,Program,https://bedes.lbl.gov/node/986b033d-18a1-4efc-aed0-0918e7af688c,1.0,List-Option,,,,,
ProgramDate,4,BuildingSync.Programs.Program.ProgramDate,,,,,,,"List-Option, Term","Program, Date","https://bedes.lbl.gov/node/0a0ab39c-be74-4b91-b897-08117aba4ff4, https://bedes.lbl.gov/node/b2a9970d-75bc-4e60-a295-a1f33e2d5dae",,,
ProgramFundingSource,5,BuildingSync.Programs.Program.ProgramFundingSource,,,,,,,"List-Option, List-Option","Program, Source","https://bedes.lbl.gov/node/0a0ab39c-be74-4b91-b897-08117aba4ff4, https://bedes.lbl.gov/node/658797eb-6b25-4d5d-9bd8-9b9b82f78a2e",Funding,https://bedes.lbl.gov/node/5ec8fc36-6ee7-4174-a427-66b85c39701e,
ProgramClassification,6,BuildingSync.Programs.Program.ProgramClassification,,,,,,,List-Option,Program,https://bedes.lbl.gov/node/0a0ab39c-be74-4b91-b897-08117aba4ff4,Classification,https://bedes.lbl.gov/node/c96589bd-0dfc-47a4-b040-11dba49d2ebd,
Facilities,7,BuildingSync.Facilities,,,,,,,,,,Facilities,https://bedes.lbl.gov/node/b6fca2b4-5856-452a-9198-1a0455dd73f0,
Facility,8,BuildingSync.Facilities.Facility,,,,,,,,,,Facility,https://bedes.lbl.gov/node/f1573c10-fc34-4e6c-9b65-4766bdeedb88,
Sites,9,BuildingSync.Facilities.Facility.Sites,9903ed36-9213-4446-b9af-3f165cfed87c,Site,,Site refers to the land on which the premises is built on.,https://bedes.lbl.gov/node/9903ed36-9213-4446-b9af-3f165cfed87c,0.96,List-Option,,,,,
Site,10,BuildingSync.Facilities.Facility.Sites.Site,9903ed36-9213-4446-b9af-3f165cfed87c,Site,,Site refers to the land on which the premises is built on.,https://bedes.lbl.gov/node/9903ed36-9213-4446-b9af-3f165cfed87c,1.0,List-Option,,,,,
ClimateZoneType,11,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType,83d301d1-3e81-4213-a3a8-c09d1e75337a,Climate Zone Type,Premises,"The climate zone type, based on the organization defining it. Many different organizations have implemented different climate zone definitions based on their needs. The list below represents the current list. This list can be added to over time based on the collaborative BEDES development process.",https://bedes.lbl.gov/node/83d301d1-3e81-4213-a3a8-c09d1e75337a,0.9764705882352941,Term,,,,,
ASHRAE,12,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.ASHRAE,9a32cfaa-c79a-4c9a-a54b-2509da31da16,ASHRAE,,"Climate zone map published by the American Society of Heating, Refrigeration and Air-Conditioning Engineers (ASHRAE).",https://bedes.lbl.gov/node/9a32cfaa-c79a-4c9a-a54b-2509da31da16,1.0,List-Option,,,,,
ClimateZone,13,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.ASHRAE.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333,Term,,,,,
EnergyStar,14,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.EnergyStar,bfdd8935-fd3c-454b-a748-e77f4b5620b4,ENERGY STAR,,"The US federal government-backed symbol for energy efficiency, providing simple, credible, and unbiased information for consumers and businesses",https://bedes.lbl.gov/node/bfdd8935-fd3c-454b-a748-e77f4b5620b4,0.9818181818181818,List-Option,,,,,
ClimateZone,15,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.EnergyStar.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333,Term,,,,,
CaliforniaTitle24,16,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.CaliforniaTitle24,27c3011e-12f0-4667-a1f7-856d7edd57fa,California Title 24,,Climate zone map published by the California Energy Commission (CEC) to be used to show compliance with the Title 24 building energy efficiency standards.,https://bedes.lbl.gov/node/27c3011e-12f0-4667-a1f7-856d7edd57fa,0.9789473684210527,List-Option,,,,,
ClimateZone,17,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.CaliforniaTitle24.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333,Term,,,,,
IECC,18,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.IECC,6743390c-49aa-4f77-b0be-d7cd5b22b5b8,IECC,,Climate zone map for the United States published in the International Energy Conservation Code.,https://bedes.lbl.gov/node/6743390c-49aa-4f77-b0be-d7cd5b22b5b8,1.0,List-Option,,,,,
ClimateZone,19,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.IECC.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333,Term,,,,,
BuildingAmerica,20,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.BuildingAmerica,74762890-f90c-4d12-97e5-73c5bf88d7bb,Building America,,"A simplified version of the IECC climate zone map, developed at the National Renewable Energy Laboratory (NREL) to be used for the Building America program.",https://bedes.lbl.gov/node/74762890-f90c-4d12-97e5-73c5bf88d7bb,0.9874999999999999,List-Option,,,,,
