attribute_name,transformed_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,match_type,matched_to_term,term_or_lo,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words
BuildingSync,Building Sync,6566,BuildingSync,,,,,,,"Words: Term, Unmatched",Building,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,,,Sync
Programs,Assessment Program,6567,BuildingSync.Programs,ad6bed68-892c-4078-870e-958b41953f8d,Assessment Program,Premises,"Program which issues energy labels, ratings, or sustainability certifications.",https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,1.0,Term-to-Term Match,,,,,,
Program,Assessment Program,6568,BuildingSync.Programs.Program,ad6bed68-892c-4078-870e-958b41953f8d,Assessment Program,Premises,"Program which issues energy labels, ratings, or sustainability certifications.",https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,1.0,Term-to-Term Match,,,,,,
ProgramDate,Assessment Program Date,6569,BuildingSync.Programs.Program.ProgramDate,,,,,,,Words: all Term,"Assessment Program,  Date","Term,  Term","https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d, https://bedes.lbl.gov/node/b2a9970d-75bc-4e60-a295-a1f33e2d5dae",,,
ProgramFundingSource,Assessment Program Funding Source,6570,BuildingSync.Programs.Program.ProgramFundingSource,,,,,,,Words: all Term,"Assessment Program,  Funding Source","Term,  Term","https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d, https://bedes.lbl.gov/node/df6b02d4-7642-4209-a9cd-680756a05d60",,,
ProgramClassification,Assessment Program Classification,6571,BuildingSync.Programs.Program.ProgramClassification,,,,,,,"Words: Term, Word",Assessment Program,Term,https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,Classification,https://bedes.lbl.gov/node/c96589bd-0dfc-47a4-b040-11dba49d2ebd,
Facilities,Facilities,6572,BuildingSync.Facilities,,,,,,,Words: all Word,,,,Facilities,https://bedes.lbl.gov/node/b6fca2b4-5856-452a-9198-1a0455dd73f0,
Facility,Facility,6573,BuildingSync.Facilities.Facility,,,,,,,Words: all Word,,,,Facility,https://bedes.lbl.gov/node/f1573c10-fc34-4e6c-9b65-4766bdeedb88,
Sites,Sites,6574,BuildingSync.Facilities.Facility.Sites,,,,,,,Words: all Term,Sites,List-Option,https://bedes.lbl.gov/node/14a1960d-aa62-412e-ab5e-4431a319d1be,,,
Site,Site,6575,BuildingSync.Facilities.Facility.Sites.Site,9903ed36-9213-4446-b9af-3f165cfed87c,Site,,Site refers to the land on which the premises is built on.,https://bedes.lbl.gov/node/9903ed36-9213-4446-b9af-3f165cfed87c,1.0,Term-to-List-Option Match,,,,,,
Buildings,Buildings,6576,BuildingSync.Facilities.Facility.Sites.Site.Buildings,,,,,,,Words: all Term,Buildings,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,,,
Building,Building,6577,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building,ee24930d-e880-4212-b3f7-ac8f511111d4,Building,,"A building is a single structure wholly or partially enclosed within exterior walls, or within exterior and abutment walls (party walls), and a roof, affording shelter to persons, animals, or property. A building can be two or more units held in the condominium form of ownership that are governed by the same board of managers.",https://bedes.lbl.gov/node/ee24930d-e880-4212-b3f7-ac8f511111d4,1.0,Term-to-List-Option Match,,,,,,
BuildingClassification,Building Classification,6578,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.BuildingClassification,,,,,,,"Words: Term, Word",Building,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,Classification,https://bedes.lbl.gov/node/c96589bd-0dfc-47a4-b040-11dba49d2ebd,
SpatialUnits,Spatial Units,6579,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits,,,,,,,"Words: Term, Word",Units,List-Option,https://bedes.lbl.gov/node/1f0f8179-7b42-4928-867f-42a67326ed06,Spatial,https://bedes.lbl.gov/node/d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,
SpatialUnit,Spatial Unit,6580,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits.SpatialUnit,,,,,,,"Words: Term, Word",Unit,List-Option,https://bedes.lbl.gov/node/1f0f8179-7b42-4928-867f-42a67326ed06,Spatial,https://bedes.lbl.gov/node/d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,
SpatialUnitType,Spatial Unit Type,6581,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits.SpatialUnit.SpatialUnitType,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,Spatial Unit Type,Premises,Unit type within the premises.,https://bedes.lbl.gov/node/d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,1.0,Term-to-Term Match,,,,,,
NumberOfUnits,Number Of Units,6582,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits.SpatialUnit.NumberOfUnits,,,,,,,"Words: Term, Word",Units,List-Option,https://bedes.lbl.gov/node/1f0f8179-7b42-4928-867f-42a67326ed06,"Number,  Of","https://bedes.lbl.gov/node/a2330c7a-2740-43c2-8296-5a02c610bd64, https://bedes.lbl.gov/node/3d8f4d75-8578-46ef-8d4c-e94b00be54fa",
UnitDensity,Unit Density,6583,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits.SpatialUnit.UnitDensity,,,,,,,Words: all Term,"Unit,  Density","List-Option,  Term","https://bedes.lbl.gov/node/1f0f8179-7b42-4928-867f-42a67326ed06, https://bedes.lbl.gov/node/53481ff1-d804-4ebc-b1b5-bbd2d9c4fd21",,,
SpatialUnitOccupiedPercentage,Spatial Unit Occupied Percentage,6584,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits.SpatialUnit.SpatialUnitOccupiedPercentage,,,,,,,"Words: Term, Word","Unit,  Occupied","List-Option,  List-Option","https://bedes.lbl.gov/node/1f0f8179-7b42-4928-867f-42a67326ed06, https://bedes.lbl.gov/node/4eb8b2a2-555d-4cc9-8ea2-8a62d8567260","Spatial,  Percentage","https://bedes.lbl.gov/node/d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad, https://bedes.lbl.gov/node/83a7940f-046b-4b7a-b4f4-382e156c0d9e",
NAICSCode,NAICS Code,6585,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.NAICSCode,92597db5-170e-40a8-94d3-58c4fec2e147,NAICS Code,Premises,North American Industry Classification System code.,https://bedes.lbl.gov/node/92597db5-170e-40a8-94d3-58c4fec2e147,1.0,Term-to-Term Match,,,,,,
PubliclySubsidized,Public Subsidized,6586,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PubliclySubsidized,,,,,,,Words: all Word,,,,"Public,  Subsidized","https://bedes.lbl.gov/node/b24563d1-03b2-4cfb-97e3-bcfc53eb97a3, https://bedes.lbl.gov/node/a76d67f9-eb41-43e0-ac7a-71bb87397653",
