enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance,associated_attribute_ids
Audit,39159,4a211e82-1d09-4bfe-9673-17daa35e7a0e,Audit,,https://bedes.lbl.gov/node/4a211e82-1d09-4bfe-9673-17daa35e7a0e,34eba948-b418-4f29-85b0-8f73380c7994,1,48685
Performance,39160,932eed34-90aa-4cda-8b7e-994e9aa2a56e,Performance,,https://bedes.lbl.gov/node/932eed34-90aa-4cda-8b7e-994e9aa2a56e,34eba948-b418-4f29-85b0-8f73380c7994,1,48685
Deemed,39161,f4df0f78-d72b-403f-8ff4-1edd6c0be678,Deemed,,https://bedes.lbl.gov/node/f4df0f78-d72b-403f-8ff4-1edd6c0be678,34eba948-b418-4f29-85b0-8f73380c7994,1,48685
Retrofit,39162,73160bb3-6426-4ca5-8de3-8044fd18d415,Retrofit,,https://bedes.lbl.gov/node/73160bb3-6426-4ca5-8de3-8044fd18d415,34eba948-b418-4f29-85b0-8f73380c7994,1,48685
Rebate,39163,599cf5b4-c019-4bae-8300-47f951bfb748,Rebate,,https://bedes.lbl.gov/node/599cf5b4-c019-4bae-8300-47f951bfb748,34eba948-b418-4f29-85b0-8f73380c7994,1,48685
Other,39164,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,48685
Not Applicable,39165,,,,,,,48685
Commercial,39166,6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,Commercial,"Commercial designs are meant to accommodate the making of a profit, either directly or indirectly, by the premises.",https://bedes.lbl.gov/node/6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,86208e3e-352a-451d-b2c5-da725ca87693,1,48692
Residential,39167,e689eee2-3fbf-4c85-9082-54b8f1575c68,Residential,Residential designs are meant to accommodate the needs of people residing on the premises.,https://bedes.lbl.gov/node/e689eee2-3fbf-4c85-9082-54b8f1575c68,86208e3e-352a-451d-b2c5-da725ca87693,1,48692
Mixed use commercial,39168,622b9f3b-1315-4700-9c04-8d89e71b6f8a,Mixed use commercial,"A commercial premises includes non-manufacturing business establishments including hotels, restaurants, wholesale businesses, retail stores, warehouses, storage facilities, and health, social and educational institutions.",https://bedes.lbl.gov/node/622b9f3b-1315-4700-9c04-8d89e71b6f8a,c96589bd-0dfc-47a4-b040-11dba49d2ebd,1,48692
Other,39169,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,48692
Multiple Heights,39170,,,,,,,48712
Uniform Height,39171,,,,,,,48712
No abutments,39172,,,,,,,48713
Attached from Above,39173,fd1c940d-ac1f-4000-baa3-a47f59a19ae0,Attached from above,,https://bedes.lbl.gov/node/fd1c940d-ac1f-4000-baa3-a47f59a19ae0,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.978947,48713
Attached from Below,39174,63a603db-daac-42a4-a1a8-d13272a2bf21,Attached from below,,https://bedes.lbl.gov/node/63a603db-daac-42a4-a1a8-d13272a2bf21,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.978947,48713
Attached from Above and Below,39175,e33b78de-0d44-4578-8248-c536a2c68ab4,Attached from above and below,,https://bedes.lbl.gov/node/e33b78de-0d44-4578-8248-c536a2c68ab4,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.950192,48713
Unknown,39176,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,48713
Stand-alone,39177,9bf68c2e-8ae7-4d68-9788-956562058547,Stand alone,,https://bedes.lbl.gov/node/9bf68c2e-8ae7-4d68-9788-956562058547,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.963636,48714
Attached on one side,39178,d69ce0c6-1227-4140-8f40-2c67aca2575e,Attached on one side,,https://bedes.lbl.gov/node/d69ce0c6-1227-4140-8f40-2c67aca2575e,160cf3e7-6cd4-42a2-86c2-b239564304f9,1,48714
Attached on two sides,39179,f0849679-4b4b-406a-a52a-93b47b84463d,Attached on two sides,,https://bedes.lbl.gov/node/f0849679-4b4b-406a-a52a-93b47b84463d,160cf3e7-6cd4-42a2-86c2-b239564304f9,1,48714
Attached on three sides,39180,177b5f40-8843-4fe5-804a-eb86608fbec1,Attached on three sides,,https://bedes.lbl.gov/node/177b5f40-8843-4fe5-804a-eb86608fbec1,160cf3e7-6cd4-42a2-86c2-b239564304f9,1,48714
Within a building,39181,,,,,,,48714
Unknown,39182,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,48714
ENERGY STAR,39183,bfdd8935-fd3c-454b-a748-e77f4b5620b4,ENERGY STAR,"The US federal government-backed symbol for energy efficiency, providing simple, credible, and unbiased information for consumers and businesses",https://bedes.lbl.gov/node/bfdd8935-fd3c-454b-a748-e77f4b5620b4,ad6bed68-892c-4078-870e-958b41953f8d,1,48717
ENERGY STAR Certified Homes,39184,d6382b42-1f52-4a09-9960-331662134ea6,ENERGY STAR Certified Homes,"EPA ENERGY STAR Certified Homes is a set of optional construction practices and technologies (above minimum code requirements) that builders can follow to upgrade a new homeÃ•s energy efficiency beyond minimum code requirements. Guidelines are outlined in the Ã’National Performance PathÃ“ or the Ã’National Prescriptive Path.Ã“ This whole-house label differs from the ENERGY STAR products label. To achieve the ENERGY STAR Certified Homes label, a homeÃ•s energy efficiency must be verified by a third-party organization.",https://bedes.lbl.gov/node/d6382b42-1f52-4a09-9960-331662134ea6,ad6bed68-892c-4078-870e-958b41953f8d,1,48717
LEED,39185,521222fc-bff6-4b3b-a9e7-4a98116a93ab,LEED,"Leadership in Energy & Environmental Design (LEED) is a green building certification program that recognizes best-in-class building strategies and practices. To receive LEED certification, building projects satisfy prerequisites and earn points to achieve different levels of certification.",https://bedes.lbl.gov/node/521222fc-bff6-4b3b-a9e7-4a98116a93ab,ad6bed68-892c-4078-870e-958b41953f8d,1,48717
Home Energy Upgrade Certificate of Energy Efficiency Performance,39186,32a57541-9d1a-443a-8f20-edbd9aa32b35,Home Energy Upgrade Certificate of Energy Efficiency Performance,"Buildings Performance Institute BPI- 2101 Standard Requirements for a Certificate of Completion for Whole-House Energy Efficiency Upgrades specifies a standard way of describing the improvements made to an existing home through a home energy upgrade (HEU) and provides one or more measures of a homeÃ•s performance. Measures of performance may include a HERS rating, a Home Energy Score, an indication of projected or actual energy consumption, or other systems. Certificates are provided by a local energy efficiency program sponsor.",https://bedes.lbl.gov/node/32a57541-9d1a-443a-8f20-edbd9aa32b35,ad6bed68-892c-4078-870e-958b41953f8d,1,48717
Home Energy Upgrade Certificate of Energy Efficiency Improvements,39187,f87994b0-ba4e-4498-b1c7-3ccd6d58527b,Home Energy Upgrade Certificate of Energy Efficiency Improvements,Buildings Performance Institute BPI- 2101 Standard Requirements for a Certificate of Completion for Whole-House Energy Efficiency Upgrades specifies a standard way of describing the improvements made to an existing home through a home energy upgrade (HEU). Certificates are provided by a local energy efficiency program sponsor.,https://bedes.lbl.gov/node/f87994b0-ba4e-4498-b1c7-3ccd6d58527b,ad6bed68-892c-4078-870e-958b41953f8d,1,48717
Passive House,39188,0cb9f44f-144f-4288-9078-08c55a821555,Passive House,Local programs verify homes designed for ultra-low energy use. Note: Consult the local building or efficiency community for information on construction and remodeling programs with significant market share or growing scale. See Certification Type for detailed list of programs.,https://bedes.lbl.gov/node/0cb9f44f-144f-4288-9078-08c55a821555,ad6bed68-892c-4078-870e-958b41953f8d,1,48717
