BuildingSyncPath,State,RequiredValues,RequiredPairedElement,GroupID,GroupingLevel
BuildingSync,Required,,,,
BuildingSync.Programs,,,,,
BuildingSync.Programs.Program,,,,,
BuildingSync.Programs.Program.ProgramDate,,,,,
BuildingSync.Programs.Program.ProgramFundingSource,,,,,
BuildingSync.Programs.Program.ProgramClassification,,,,,
BuildingSync.Facilities,Required,,,,
BuildingSync.Facilities.Facility,Required,,,,
BuildingSync.Facilities.Facility.Sites,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.ASHRAE,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.ASHRAE.ClimateZone,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.EnergyStar,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.EnergyStar.ClimateZone,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.CaliforniaTitle24,Optional,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.CaliforniaTitle24.ClimateZone,Optional,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.IECC,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.IECC.ClimateZone,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.BuildingAmerica,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.BuildingAmerica.ClimateZone,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.CBECS,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.CBECS.ClimateZone,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.DOE,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.DOE.ClimateZone,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.Other,,,,,
BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.Other.ClimateZone,,,,,
BuildingSync.Facilities.Facility.Sites.Site.eGRIDRegionCode,,,,,
BuildingSync.Facilities.Facility.Sites.Site.WeatherDataStationID,Optional,,,,
BuildingSync.Facilities.Facility.Sites.Site.WeatherStationName,Optional,,,,
BuildingSync.Facilities.Facility.Sites.Site.WeatherStationCategory,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Longitude,Optional,,,,
BuildingSync.Facilities.Facility.Sites.Site.Latitude,Optional,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.BuildingClassification,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits.SpatialUnit,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits.SpatialUnit.SpatialUnitType,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits.SpatialUnit.NumberOfUnits,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.SpatialUnits.SpatialUnit.UnitDensity,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.NAICSCode,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PubliclySubsidized,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FederalBuilding,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FederalBuilding.Agency,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FederalBuilding.DepartmentRegion,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PortfolioManager,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PortfolioManager.PMBenchmarkDate,,,,,
